msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Price,average_value_Price,pct_coef_Price,average_pct_Price,trend_coef_Rent,average_value_Rent,pct_coef_Rent,average_pct_Rent,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Price,normalized_pct_coef_Price,normalized_average_pct_Price,Price_weight,normalized_trend_coef_Rent,normalized_pct_coef_Rent,normalized_average_pct_Rent,Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Rent,Price,rent_price_ratio,rank
"Boise City, ID",34.20472189747433,1026.3636363636363,-1.7615708054547025e-07,0.003081291010663148,111.94517458720823,2609.964359740686,-1.728011551833725e-06,0.008486010334045396,0.30699271896285985,7.911836905060723,-4.281341792883231e-07,0.006200794321415206,0.1691390799447775,0.29724706114795557,0.7966346795839567,3.186538718335827,0.442491314982689,0.1280188706489262,0.9729710365936399,0.9729710365936399,0.5587708581041035,0.24632769422344908,0.64182406727553,1.28364813455106,5.443157889480526,3427.0,0.0069,401000.0,1767.2558330855388,479768.3557259431,0.0036835606433681593,2
"Provo, UT",28.74521061640248,869.0909090909091,-8.278628595243027e-07,0.0033435382824929367,103.5048449643788,2615.8447410935737,-1.2600028614379767e-06,0.007144858471488153,0.2365402931031454,6.561524678151601,6.61498163232503e-07,0.004795334411959065,0.14877157880238714,0.0,0.8559047213821793,3.4236188855287173,0.4066487473644055,0.19338214523126987,0.7924758746385133,0.7924758746385133,0.4119411157377556,0.48001031317133236,0.4543898089443528,0.9087796178887056,5.124874378055936,2876.0,0.0063,314400.0,1768.9060218748973,534679.7351486211,0.0033083468581116262,4
"Reno, NV",16.935473186551498,579.0909090909091,-5.725655392145414e-07,0.0025790748925750033,98.05324637299849,2674.5222236316,-2.3596068764602694e-06,0.0071729523803192845,0.2909809709922595,8.013393785763325,-1.5767289001661797e-06,0.005807936168731184,0.1047136351128566,0.11644269642649525,0.6831297035240138,2.7325188140960552,0.38349807673055114,0.03980867396736401,0.7962568145648531,0.7962568145648531,0.5254008101509006,0.0,0.5894319101017406,1.1788638202034811,4.70763944886439,2707.0,0.006,270100.0,1873.8607412794845,545404.066398491,0.003435729318362612,12
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,89.69031101838871,2280.8739500948036,-2.4503198850192523e-07,0.007280745704495511,0.3199167577127039,8.235212888791837,-1.349268820022347e-07,0.0060846655267641344,0.6267664044398885,0.38188030517013877,0.6500991738474522,2.6003966953898088,0.34798417036317747,0.3351355383246791,0.8107638767761163,0.8107638767761163,0.5857058182110966,0.30920894916668157,0.6263369556547226,1.2526739113094452,4.66383448347537,4086.0,0.0066,2444200.0,1864.017828788762,460783.4195333528,0.004045323138311923,14
"Las Vegas, NV",55.47021768720873,2224.5454545454545,7.546262778338372e-07,0.0026101435115560017,77.34760518471198,2057.596098349653,-7.337576573478368e-07,0.007055503862600403,0.2699689577330991,6.9821211711228734,7.910782058552746e-08,0.00519370005794514,0.24847310592116106,0.7217831428705941,0.6901514671167043,2.760605868466817,0.2955698348804077,0.2668788782588106,0.7804503352101302,0.7804503352101302,0.4816097205497552,0.35511084459934544,0.5075164537512571,1.0150329075025142,4.556089111179462,2707.0,0.006,1149800.0,1772.931503609456,424147.21291320096,0.004179990931526586,19
"Stockton, CA",18.84420033252454,593.6363636363636,-1.449035384584945e-07,0.0025008394394621064,92.13975593416491,2472.4583487042955,-1.6250286791873513e-06,0.006422088179829546,0.3527182417674229,10.163000732485585,-7.868722236530663e-07,0.0058666153741324225,0.11183441943303937,0.31150199617457774,0.6654478472219435,2.661791388887774,0.3583859436284659,0.1424017184895752,0.6952038620563391,0.6952038620563391,0.6540673173960699,0.16939271124611247,0.5972574576466008,1.1945149152932015,4.551510166237314,2598.0,0.0076,279600.0,2358.7799876329696,542582.8832868516,0.004347317359781021,20
"Charleston, SC",23.13891377158888,874.5454545454545,4.483590361028456e-07,0.0024781682365794546,66.65301247571868,2008.01650807912,9.480114177226009e-07,0.006510550981867294,0.26770237936225993,8.449148204335993,1.8108384710865322e-06,0.005435451640719667,0.12785647275851744,0.5820927481144281,0.6603239687804439,2.6412958751217754,0.250154350005826,0.5017589907305892,0.7071093801610245,0.7071093801610245,0.4768859496620625,0.7264979060233797,0.5397568103155834,1.0795136206311668,4.427918875913967,4319.0,0.0057,424600.0,2072.119631688651,436015.8899348459,0.0047523947624897095,23
"Ogden, UT",16.877446940192517,564.5454545454545,-5.403186922179476e-08,0.0021634959263308598,101.39497639591485,2582.0730366695257,-1.0874930630607514e-06,0.007853353365224002,0.2705116449667492,7.186395564195222,2.3795880766926157e-07,0.005732940278431724,0.10449715975853271,0.35294912997864275,0.5892054368275825,2.35682174731033,0.39768901353762287,0.2174752989501474,0.8878266728288072,0.8878266728288072,0.48274073379351506,0.3891780370234487,0.5794303447909198,1.1588606895818396,4.403509109720977,2876.0,0.0063,298500.0,1696.335344394168,496589.0407552933,0.003415974186248866,24
"Riverside, CA",105.03709883960208,3374.5454545454545,-4.1842905266059943e-07,0.002359266406894607,98.34994642610029,2679.758187909007,3.5803785414974303e-07,0.006532646355298114,0.38668016913948494,10.486009214749426,4.893300903287305e-07,0.005617677999983975,0.4333895675825237,0.18674530708558956,0.633451176678034,2.533804706712136,0.38475803838973627,0.4193617942180032,0.7100830240243305,0.7100830240243305,0.7248472938901923,0.4430871377062147,0.5640587930810064,1.1281175861620127,4.372005316898479,2598.0,0.0076,1697100.0,2510.6857778919807,581266.9001824938,0.004319333815676979,25
"Nashville, TN",74.4290037263343,2401.818181818182,-1.7650323127516545e-07,0.0024465886518417654,79.92571229914174,2219.496386352546,-1.0888521972734106e-06,0.0074106332665262314,0.23012490054899318,6.5034272941988815,3.1085597449001065e-07,0.004301160661452455,0.3192016155679832,0.2970891796461568,0.6531867227213572,2.612746890885429,0.30651798296294075,0.21728547883663374,0.8282444300223307,0.8282444300223307,0.39857081053661436,0.40481156788684436,0.38848605047372886,0.7769721009474577,4.2179634218552176,4873.0,0.0071,1163000.0,1904.4590921551917,442659.1493780543,0.004302314986216817,31
